Species,Species_Abbreviation,TaxonomicGroup,PrevalenceChange,NRB_T1,NRB_T2,NRBShift_Raw,NRBShift,PhenologyShift,Pvalue_Phenology,SE_PhenologyShift,PopulationTrend,P_PopulatioTrend,NRB_Shift_Scaled,Phenology_Shift_Scaled,PopulationTrend_Scaled,PhenologyCategory,NRB_Category,PopualtionTrend_Category,response,hypo,HostUse,Voltinism,OverwinteringStage,BodySize,HU,volti,univolt_dummy,specialist_dummy,generalist_dummy,lf_dummy,adult_dummy,larva_dummy,pupa_dummy,North_dummy,South_dummy,Advance_dummy,Delay_dummy,NorthAdvance_dummy,SouthAdvance_dummy,NorthDelay_dummy,Hypo1_dummy,Hypo2_dummy
Nymphalis io,Ina.io,Butterfly,1791,705.9,726.1,202,-40.13852748,-0.981748283,6.09E-42,0.072066812,0.004135604,0.770567078,-0.280833048,-3.246378051,0.082046831,ADV,CONTR,STAB,ADVCONTR,one,monophagous,1,adult,54,specialist,semi and uni,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0
Nymphalis urticae,Agl.urti,Butterfly,-739,755.5,769.9,144,225.5712694,-1.008134347,6.13E-47,0.069866915,-0.027183601,0.137092486,1.57823097,-3.333629681,-0.539299296,ADV,EXP,STAB,ADVEXP,two,monophagous,2,adult,47.3,specialist,multi,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1
Nymphalis c-album,Pol.c-alb,Butterfly,826,712.8,739.1,263,144.3318101,-0.930318934,1.50E-13,0.125579576,0.001392238,0.846398888,1.00983132,-3.076314998,0.027620806,ADV,EXP,STAB,ADVEXP,two,polyphagous,1,adult,45.8,generalist,semi and uni,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1
Nymphalis antiopa,Nym.anti,Butterfly,455,729.3,743,137,65.80071702,-0.985663146,1.33E-06,0.203020605,-0.012927116,0.187233281,0.460381013,-3.259323454,-0.256462878,ADV,EXP,STAB,ADVEXP,two,polyphagous,1,adult,66.5,generalist,semi and uni,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1
Brenthis ino,Bre.ino,Butterfly,-255,735.7,732.7,-30,-10.3558222,0.060603651,0.006836624,0.022402191,0.00547549,0.548601529,-0.072455501,0.200400005,0.108629019,DEL,STAB,STAB,DELCONTR,zero,polyphagous,1,larva,37.7,generalist,semi and uni,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
Argynnis paphia,Arg.paph,Butterfly,539,690.3,723.8,335,253.05304,0.62650136,3.32E-13,0.085349261,0.076194218,1.68E-07,1.770509808,2.071671831,1.511627842,DEL,EXP,POS,DELEXP,one,oligophagous,1,larva,61.8,specialist,semi and uni,1,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0
Argynnis aglaja,Arg.agla,Butterfly,-322,736.3,735.6,-7,21.21672973,0.269733769,1.03E-12,0.037735854,-0.001260285,0.860780037,0.14844488,0.891937172,-0.025002972,DEL,EXP,STAB,DELEXP,one,oligophagous,1,larva,53.1,specialist,semi and uni,1,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0
Argynnis adippe,Arg.adip,Butterfly,-525,700.4,701.9,15,69.1902826,0.120732024,0.003177687,0.040887547,-0.014761031,0.13454441,0.484096433,0.399228396,-0.292846177,DEL,EXP,STAB,DELEXP,one,oligophagous,1,larva,53.6,specialist,semi and uni,1,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0
Boloria selene,Bol.sele,Butterfly,-372,776.1,769.7,-64,-29.38584346,-0.040627147,0.231428652,0.033947271,-0.000286177,0.977846383,-0.205600866,-0.134343071,-0.005677506,STAB,CONTR,STAB,DELCONTR,zero,oligophagous,2,larva,36.6,specialist,multi,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Boloria euphrosyne,Bol.euph,Butterfly,-710,774.1,767.6,-65,12.86076181,0.20159407,8.15E-05,0.051097299,-0.007934049,0.28694574,0.089981551,0.666617477,-0.157404718,DEL,STAB,STAB,DELCONTR,zero,oligophagous,1,larva,37.3,specialist,semi and uni,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Falcaria lacertinaria,Fal.lace,Moth,-10,751.5,734.8,-167,-178.7032136,0.3737147,6.28E-05,0.093021156,-0.023,0,-1.250314133,1.235774201,-0.456300245,DEL,CONTR,NEG,DELCONTR,zero,polyphagous,3,pupa,32.9,generalist,multi,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0
Drepana falcataria,Dre.falc,Moth,151,737.9,716.2,-217,-249.3029279,0.153254301,0.137920539,0.10323606,-0.002,0.777,-1.74427179,0.506770838,-0.039678282,STAB,CONTR,STAB,DELCONTR,zero,polyphagous,3,pupa,36.4,generalist,multi,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
Tetheella fluctuosa,Tet.fluc,Moth,267,686.2,698.5,123,75.85504184,0.266482297,0.025752892,0.118735955,-0.02,0.057,0.530727059,0.881185428,-0.396782822,DEL,EXP,STAB,DELEXP,one,oligophagous,1,pupa,39.7,specialist,semi and uni,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0
Ochropacha duplaris,Och.dupl,Moth,367,738.5,756.3,178,118.0601882,0.101675219,0.087825652,0.059529113,-0.057,0,0.826019404,0.336212656,-1.130831043,STAB,EXP,NEG,DELEXP,one,polyphagous,2,pupa,33.3,generalist,multi,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0
